2015 8 29 0 15 33     0.00 16942.55 44430.25 47550.99 21.16 
2015 8 29 0 15 41     0.00 16941.59 44429.05 47549.53 21.13 
2015 8 29 0 15 49     0.00 16941.11 44428.81 47549.14 21.09 
2015 8 29 0 15 57     0.00 16941.11 44429.05 47549.36 21.07 
2015 8 29 0 16 5     0.00 16941.35 44428.57 47549.00 21.09 
2015 8 29 0 16 12     0.00 16941.35 44429.29 47549.67 21.09 
2015 8 29 0 16 20     0.00 16941.59 44429.29 47549.76 21.12 
2015 8 29 0 16 28     0.00 16941.35 44429.29 47549.67 21.09 
2015 8 29 0 16 36     0.00 16941.59 44428.81 47549.31 21.08 
2015 8 29 0 16 44     0.00 16941.35 44429.29 47549.67 21.05 
2015 8 29 0 16 52     0.00 16942.07 44428.57 47549.26 21.09 
2015 8 29 0 17 0     0.00 16941.83 44428.57 47549.17 21.07 
2015 8 29 0 17 8     0.00 16941.83 44428.09 47548.72 21.09 
2015 8 29 0 17 16     0.00 16942.31 44428.09 47548.89 21.10 
2015 8 29 0 17 24     0.00 16942.79 44428.57 47549.51 21.10 
2015 8 29 0 17 32     0.00 16942.79 44428.57 47549.51 21.08 
2015 8 29 0 17 39     0.00 16942.79 44428.57 47549.51 21.05 
2015 8 29 0 17 47     0.00 16943.02 44428.33 47549.37 21.10 
2015 8 29 0 17 55     0.00 16942.79 44427.85 47548.84 21.09 
2015 8 29 0 18 3     0.00 16943.02 44427.38 47548.48 21.05 
2015 8 29 0 18 11     0.00 16942.55 44427.85 47548.76 21.08 
2015 8 29 0 18 19     0.00 16942.31 44427.14 47548.00 21.10 
2015 8 29 0 18 27     0.00 16942.79 44428.33 47549.29 21.09 
2015 8 29 0 18 35     0.00 16943.02 44428.09 47549.15 21.11 
2015 8 29 0 18 43     0.00 16943.26 44428.33 47549.46 21.06 
2015 8 29 0 18 51     0.00 16942.79 44428.57 47549.51 21.09 
2015 8 29 0 18 59     0.00 16942.55 44427.85 47548.76 21.08 
2015 8 29 0 19 6     0.00 16941.59 44427.38 47547.97 21.12 
2015 8 29 0 19 14     0.00 16942.07 44426.90 47547.69 21.13 
2015 8 29 0 19 22     0.00 16941.11 44427.62 47548.02 21.10 
2015 8 29 0 19 30     0.00 16941.35 44427.38 47547.88 21.07 
2015 8 29 0 19 38     0.00 16942.07 44427.14 47547.92 21.04 
2015 8 29 0 19 46     0.00 16941.59 44427.14 47547.74 21.05 
2015 8 29 0 19 54     0.00 16941.83 44427.38 47548.05 21.08 
2015 8 29 0 20 2     0.00 16941.35 44426.90 47547.44 21.08 
2015 8 29 0 20 10     0.00 16940.87 44426.42 47546.82 21.06 
2015 8 29 0 20 18     0.00 16940.63 44427.14 47547.40 21.05 
2015 8 29 0 20 25     0.00 16940.39 44426.90 47547.10 21.03 
2015 8 29 0 20 33     0.00 16941.11 44426.42 47546.90 21.07 
2015 8 29 0 20 41     0.00 16940.87 44426.42 47546.82 21.10 
2015 8 29 0 20 49     0.00 16940.87 44426.90 47547.27 21.12 
2015 8 29 0 20 57     0.00 16940.39 44426.42 47546.65 21.13 
2015 8 29 0 21 5     0.00 16940.39 44426.42 47546.65 21.10 
